,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
34,Atuona,PF,1579382872,-9.8,-139.03,81.16,77,28,19.48
35,Astana,KZ,1579382872,51.18,71.45,15.8,92,90,20.13
36,Kadyy,RU,1579382872,57.79,43.19,29.7,93,100,8.34
37,Katsuura,JP,1579382357,35.13,140.3,41.0,66,20,11.41
38,Saldanha,ZA,1579382628,-33.01,17.94,68.0,52,98,10.29
39,Sweetwater,US,1579382873,25.76,-80.37,77.0,47,40,19.46
40,Berlevag,NO,1579382759,70.86,29.09,27.82,61,0,19.51
41,San Patricio,MX,1579382424,19.22,-104.7,86.0,66,75,6.93
42,Oksfjord,NO,1579382873,70.24,22.35,24.8,67,97,17.22
43,Paamiut,GL,1579382671,61.99,-49.67,23.56,69,100,19.86
44,Kenai,US,1579382285,60.55,-151.26,12.0,70,1,5.82
45,Cherskiy,RU,1579382591,68.75,161.3,-18.27,98,99,2.42
46,Kalmunai,LK,1579382874,7.42,81.82,81.21,81,68,15.05
47,Cesme,TR,1579382874,38.32,26.31,43.0,75,6,9.17
48,Busselton,AU,1579382405,-33.65,115.33,59.0,41,0,14.0
49,Arraial do Cabo,BR,1579382747,-22.97,-42.03,77.0,65,75,5.82
50,Bay Roberts,CA,1579382875,47.6,-53.26,14.0,72,75,27.51
51,Ahipara,NZ,1579382700,-35.17,173.17,75.99,77,0,1.99
52,Mahebourg,MU,1579382362,-20.41,57.7,80.6,88,40,4.7
53,Severo-Kuril'sk,RU,1579382875,50.68,156.12,14.56,90,87,9.78
54,Road Town,VG,1579382876,18.42,-64.62,84.2,58,40,10.29
55,Ilulissat,GL,1579382498,69.22,-51.1,-0.4,40,0,6.93
56,Port Elizabeth,ZA,1579382361,-33.92,25.57,65.03,73,100,12.24
57,Coquimbo,CL,1579382860,-29.95,-71.34,78.01,72,20,14.99
58,Kahului,US,1579382876,20.89,-156.47,75.2,69,40,16.11
59,Owando,CG,1579382877,-0.48,15.9,75.92,80,60,3.51
60,Kodiak,US,1579382723,57.79,-152.41,33.8,86,90,24.16
61,Castro,BR,1579382877,-24.79,-50.01,70.77,74,63,6.11
62,Palmer,US,1579382659,42.16,-72.33,21.99,67,90,8.05
63,Arroyo de la Encomienda,ES,1579382645,41.61,-4.8,44.01,93,22,4.7
64,Rikitea,PF,1579382584,-23.12,-134.97,78.55,79,0,15.37
65,Birjand,IR,1579382505,32.87,59.22,37.4,51,75,20.8
66,Saint George,US,1579382860,37.1,-113.58,53.6,31,1,2.68
67,Tura,IN,1579382729,25.52,90.22,61.88,74,1,1.61
68,Vuktyl,RU,1579382878,63.86,57.31,-2.16,96,15,1.07
69,Iquitos,PE,1579382879,-3.75,-73.25,80.6,78,75,4.7
70,Pingxiang,CN,1579382859,27.62,113.85,34.25,98,72,2.35
71,Butaritari,KI,1579382831,3.07,172.79,84.6,76,100,13.85
72,Qaanaaq,GL,1579382879,77.48,-69.36,-17.09,66,75,4.25
73,Port Hardy,CA,1579382424,50.7,-127.42,39.2,93,90,19.46
74,Camacha,PT,1579382879,33.08,-16.33,60.8,77,20,3.36
75,Oranjemund,NA,1579382754,-28.55,16.43,62.42,90,13,10.58
76,Sfantu Gheorghe,RO,1579382880,45.87,25.78,26.01,78,0,2.3
77,Guerrero Negro,MX,1579382510,27.98,-114.06,70.92,24,69,2.3
78,Dikson,RU,1579382642,73.51,80.55,-10.14,97,96,2.95
79,Hermanus,ZA,1579382591,-34.42,19.23,64.0,95,100,1.99
80,Hilo,US,1579382428,19.73,-155.09,78.8,61,1,10.29
81,Sitka,US,1579382482,57.05,-135.33,33.8,50,90,10.29
82,Masuguru,TZ,1579382881,-11.37,38.42,75.63,95,100,4.63
83,Lompoc,US,1579382562,34.64,-120.46,64.0,54,90,5.82
84,Sao Filipe,CV,1579382881,14.9,-24.5,71.51,71,5,12.1
85,Lebu,CL,1579382881,-37.62,-73.65,68.25,45,93,12.66
86,Jamestown,US,1579382766,42.1,-79.24,37.0,92,90,12.75
87,Gorontalo,ID,1579382882,0.54,123.06,72.75,91,18,3.76
88,Tiksi,RU,1579382575,71.69,128.87,-1.95,87,100,11.79
89,Tamandare,BR,1579382882,-8.76,-35.1,81.46,77,77,12.75
90,Khatanga,RU,1579382602,71.97,102.5,-23.62,95,100,7.14
91,Ribeira Grande,PT,1579382333,38.52,-28.7,64.4,93,75,13.87
92,Tessalit,ML,1579382765,20.2,1.01,63.27,23,0,13.29
93,Meulaboh,ID,1579382883,4.14,96.13,81.55,81,25,9.04
94,Kosh-Agach,RU,1579382884,50.0,88.67,-15.5,99,11,2.28
95,Safi,MA,1579382884,32.3,-9.24,54.61,66,32,9.28
96,Puerto Ayora,EC,1579382884,-0.74,-90.35,89.6,52,20,19.46
97,Eyl,SO,1579382884,7.98,49.82,76.41,77,15,25.55
98,Carnarvon,AU,1579382884,-24.87,113.63,75.2,88,0,10.29
99,Darab,IR,1579382885,28.75,54.54,49.21,58,62,3.4
100,Faya,SA,1579382421,18.39,42.45,51.8,81,0,3.18
101,Wanning,CN,1579382789,18.8,110.4,69.19,85,67,5.84
102,Marzuq,YE,1579382761,14.4,46.47,53.15,75,0,2.13
103,Havelock,US,1579382832,34.88,-76.9,57.2,71,75,8.05
104,East London,ZA,1579382886,-33.02,27.91,69.49,74,100,14.2
105,Barka Kana,IN,1579382886,23.62,85.48,60.8,93,90,2.15
106,Cape Town,ZA,1579382312,-33.93,18.42,64.0,72,20,31.09
107,Killybegs,IE,1579382886,54.63,-8.45,37.4,93,0,5.82
108,Anadyr,RU,1579382644,64.75,177.48,15.8,72,75,8.95
109,Mehamn,NO,1579382862,71.04,27.85,13.55,67,1,10.96
110,Airai,TL,1579382887,-8.93,125.41,67.17,86,100,4.09
111,Korla,CN,1579382753,41.76,86.15,12.06,73,0,6.55
112,Thompson,CA,1579382815,55.74,-97.86,-5.8,76,75,11.41
113,Maniitsoq,GL,1579382483,65.42,-52.9,14.61,47,1,9.13
114,Hebi,CN,1579382887,35.9,114.19,28.13,60,2,5.26
115,Shelburne,CA,1579382820,44.08,-80.2,30.0,100,90,12.75
116,Samarai,PG,1579382888,-10.62,150.67,78.67,78,84,3.85
117,Kimbe,PG,1579382888,-5.55,150.14,76.66,92,96,5.21
118,Saint-Philippe,RE,1579382888,-21.36,55.77,82.4,83,100,3.36
119,Souillac,MU,1579382591,-20.52,57.52,80.6,88,40,4.7
120,Galeana,MX,1579382889,24.83,-100.07,71.01,41,98,4.0
121,Nikolskoye,RU,1579382683,59.7,30.79,35.6,86,75,8.95
122,Uthal,PK,1579382889,25.81,66.62,60.22,29,99,3.56
123,Chake Chake,TZ,1579382889,-5.25,39.77,82.17,81,85,16.71
124,Nsanje,MW,1579382889,-16.92,35.26,75.76,96,100,3.65
125,Aku,NG,1579382890,6.71,7.32,75.2,53,0,4.7
126,La Ronge,CA,1579382343,55.1,-105.28,1.4,70,75,10.29
127,Alyangula,AU,1579382890,-13.85,136.42,87.8,79,7,10.29
128,Guozhen,CN,1579382740,34.37,107.36,28.31,46,99,2.91
129,Santa Cruz de la Sierra,BO,1579382275,-17.8,-63.17,93.2,59,40,12.75
130,Jiayuguan,CN,1579382851,39.82,98.3,14.07,73,0,4.63
131,Baykit,RU,1579382261,61.67,96.37,-12.95,97,73,4.47
132,Torbay,CA,1579382891,47.67,-52.73,14.0,72,75,27.51
133,Alice Springs,AU,1579382598,-23.7,133.88,82.4,20,40,8.05
134,Izumo,JP,1579382891,35.37,132.77,37.4,80,40,8.05
135,Kaitangata,NZ,1579382891,-46.28,169.85,64.99,67,0,9.24
136,Marawi,PH,1579382891,8.0,124.29,71.01,86,0,5.99
137,Ponta do Sol,PT,1579382892,32.67,-17.1,60.8,67,20,8.05
138,Macusani,PE,1579382892,-14.08,-70.43,40.6,84,100,6.73
139,Longyearbyen,SJ,1579382794,78.22,15.64,26.6,73,75,20.8
140,Clyde River,CA,1579382892,70.47,-68.59,-23.8,74,20,4.7
141,Provideniya,RU,1579382692,64.38,-173.3,-4.47,83,0,5.14
142,Kavaratti,IN,1579382865,10.57,72.64,80.47,74,76,10.94
143,Skibbereen,IE,1579382893,51.55,-9.27,37.4,86,20,4.7
144,Shingu,JP,1579382564,33.73,135.98,43.77,70,12,7.9
145,Hammerfest,NO,1579382893,70.66,23.68,24.8,68,100,24.16
146,Pevek,RU,1579382893,69.7,170.31,-10.05,91,100,3.18
147,Visby,SE,1579382711,57.64,18.3,43.0,86,92,25.28
148,Tuatapere,NZ,1579382351,-46.13,167.68,59.0,93,100,1.01
149,Saskylakh,RU,1579382894,71.92,114.08,-7.4,96,93,4.45
150,Vaini,TO,1579382686,-21.2,-175.2,80.6,83,75,21.92
151,Mandalgovi,MN,1579382740,45.76,106.27,8.69,74,21,17.74
152,Wajima,JP,1579382513,37.4,136.9,42.46,66,98,10.04
153,Shimoda,JP,1579382462,34.67,138.95,30.0,91,100,20.09
154,Ribas do Rio Pardo,BR,1579382895,-20.44,-53.76,83.3,69,50,8.5
155,Broken Hill,AU,1579382340,-31.95,141.43,64.4,23,37,6.93
156,Upernavik,GL,1579382814,72.79,-56.15,-9.54,63,84,5.03
157,Luderitz,NA,1579382315,-26.65,15.16,68.0,72,0,20.8
158,Kartaly,RU,1579382895,53.05,60.65,17.29,87,0,9.31
159,Necochea,AR,1579382520,-38.55,-58.74,82.0,51,0,8.01
160,Jejuri,IN,1579382896,18.28,74.17,64.22,54,0,3.76
161,Fort Nelson,CA,1579382896,58.81,-122.7,-16.6,68,75,3.36
162,Tazovsky,RU,1579382357,67.47,78.7,-12.3,96,96,11.18
163,Kruisfontein,ZA,1579382897,-34.0,24.73,60.55,79,100,10.38
164,Abong Mbang,CM,1579382897,3.98,13.18,78.6,37,96,3.2
165,Vanavara,RU,1579382620,60.34,102.28,-0.85,81,100,9.35
166,Clarksdale,US,1579382792,34.2,-90.57,62.6,88,75,5.82
167,Yangi Marg`ilon,UZ,1579382822,40.43,71.72,26.6,68,0,6.93
168,Onguday,RU,1579382898,50.75,86.15,2.62,87,100,8.55
169,Kavieng,PG,1579382570,-2.57,150.8,84.07,77,99,24.47
170,Mugan,CN,1579382898,35.94,101.38,15.04,71,100,4.12
171,Belaya Gora,RU,1579382487,68.53,146.42,-21.96,99,98,1.59
172,Vardo,NO,1579382619,70.37,31.11,27.0,77,72,14.43
173,Talcahuano,CL,1579382352,-36.72,-73.12,71.6,53,60,11.41
174,Padang,ID,1579382490,-0.95,100.35,68.49,94,94,5.23
175,Yambio,SS,1579382899,4.57,28.4,73.62,27,32,3.31
176,Atambua,ID,1579382899,-9.11,124.89,75.42,89,100,1.3
177,Rawson,AR,1579382899,-43.3,-65.1,62.35,66,0,26.57
178,Staryy Nadym,RU,1579382900,65.61,72.68,-14.66,93,42,12.08
179,Ngunguru,NZ,1579382900,-35.62,174.5,70.0,63,0,8.99
180,Sabha,LY,1579382900,27.04,14.43,51.08,55,0,3.09
181,Pisco,PE,1579382900,-13.7,-76.22,71.6,30,90,13.87
182,Olovyannaya,RU,1579382901,50.95,115.57,-11.87,99,17,2.3
183,Beni,CD,1579382901,0.5,29.47,69.3,77,80,2.24
184,Tateyama,JP,1579382901,34.98,139.87,41.0,74,20,11.41
185,Hobyo,SO,1579382890,5.35,48.53,76.42,74,17,19.22
186,Sao Miguel,BR,1579382902,-5.47,-35.37,82.4,78,20,10.29
187,Kyritz,DE,1579382902,52.94,12.4,39.99,99,100,3.0
188,Kapaa,US,1579382654,22.08,-159.32,75.2,60,75,17.22
189,Pendleton,US,1579382768,45.67,-118.79,45.0,65,90,5.82
190,Tortoli,IT,1579382903,39.93,9.66,51.8,50,20,5.82
191,Bredasdorp,ZA,1579382903,-34.53,20.04,62.6,82,100,5.82
192,Saint-Joseph,RE,1579382562,-21.37,55.62,82.4,83,100,3.36
193,Kurumkan,RU,1579382903,54.3,110.3,-4.36,97,100,0.67
194,Shestakovo,RU,1579382903,56.49,103.96,2.23,90,100,10.83
195,Beringovskiy,RU,1579382828,63.05,179.32,24.94,85,100,13.78
196,Sangre Grande,TT,1579382904,10.58,-61.12,84.2,66,20,12.75
197,Novomykolayivka,UA,1579382904,47.98,35.91,26.6,100,90,6.71
198,Erenhot,CN,1579382753,43.65,111.98,9.99,81,100,13.98
199,Ongandjera,NA,1579382905,-17.88,15.07,79.12,47,85,12.08
200,Anamur,TR,1579382905,36.08,32.84,46.4,87,75,8.05
201,Yellowknife,CA,1579382905,62.46,-114.35,-25.01,67,20,4.0
202,Malanje,AO,1579382905,-9.54,16.34,66.15,94,100,7.36
203,Chalinze,TZ,1579382905,-6.64,38.35,73.99,98,45,4.03
204,Brae,GB,1579382766,60.4,-1.35,44.6,66,0,14.99
205,Codrington,AU,1579382792,-38.27,141.97,62.37,92,100,11.14
206,Innisfail,AU,1579382906,-17.53,146.03,79.12,82,0,4.9
207,Oodweyne,SO,1579382460,9.41,45.06,62.69,46,4,12.59
208,Le Creusot,FR,1579382906,46.81,4.42,35.01,92,8,3.58
209,Bengkulu,ID,1579382798,-3.8,102.27,72.91,92,100,3.69
210,Bac Lieu,VN,1579382907,9.29,105.72,73.78,85,62,8.93
211,Kamenka,RU,1579382593,51.32,42.77,33.01,95,100,1.99
212,Nouakchott,MR,1579382373,18.09,-15.98,75.2,16,0,8.05
213,Sao Desiderio,BR,1579382907,-12.36,-44.97,81.54,66,0,3.04
214,Hasaki,JP,1579382907,35.73,140.83,33.8,80,20,5.82
215,Ambon,ID,1579382728,-3.7,128.18,77.0,94,40,5.82
216,General Pico,AR,1579382865,-35.66,-63.76,97.75,18,57,11.97
217,Touros,BR,1579382260,-5.2,-35.46,84.2,70,20,13.87
218,Derbent,RU,1579382908,42.07,48.29,40.35,74,98,16.37
219,Urumqi,CN,1579382908,43.8,87.6,1.4,84,90,2.24
220,Hounde,BF,1579382908,11.5,-3.52,74.75,13,0,7.25
221,Ampanihy,MG,1579382909,-24.7,44.75,74.59,77,0,4.74
222,Port Blair,IN,1579382434,11.67,92.75,79.81,78,0,11.88
223,Tuktoyaktuk,CA,1579382909,69.45,-133.04,-4.0,64,5,9.17
224,Hithadhoo,MV,1579382909,-0.6,73.08,83.14,78,6,13.29
225,Henties Bay,NA,1579382359,-22.12,14.28,66.0,90,100,3.0
226,Hamilton,US,1579382735,39.18,-84.53,52.0,75,90,17.22
227,Adre,TD,1579382881,13.47,22.2,61.12,38,2,16.82
228,Broome,US,1579382341,42.25,-75.83,25.0,85,90,14.99
229,Narsaq,GL,1579382865,60.92,-46.05,33.8,40,100,40.26
230,Portland,US,1579382718,45.52,-122.68,50.0,93,90,3.36
231,Mangrol,IN,1579382761,21.12,70.12,67.24,49,0,21.92
232,Rabo de Peixe,PT,1579382765,37.8,-25.58,62.6,93,75,6.93
233,West Richland,US,1579382911,46.3,-119.36,37.99,91,90,2.28
234,Graz,AT,1579382911,47.07,15.45,33.01,100,90,3.36
235,Asau,RO,1579382883,46.43,26.4,30.0,100,75,8.05
236,Mackenzie,CA,1579382911,55.3,-123.17,-5.8,76,90,6.93
237,Boyolangu,ID,1579382470,-8.12,111.89,72.88,84,0,2.44
238,Labuan,MY,1579382912,5.28,115.24,80.6,88,75,2.24
239,Chokurdakh,RU,1579382912,70.63,147.92,-18.38,97,97,1.45
240,Hualmay,PE,1579382885,-11.1,-77.61,74.8,66,36,10.16
241,Gucheng,CN,1579382912,35.91,111.32,28.89,48,0,4.27
242,Chingirlau,KZ,1579382913,51.09,54.08,24.28,96,99,5.61
243,Hirara,JP,1579382913,24.8,125.28,62.64,69,53,9.37
244,Okhotsk,RU,1579382564,59.38,143.3,-20.88,70,0,8.34
245,Tasiilaq,GL,1579382590,65.61,-37.64,23.0,85,100,26.4
246,Cartagena,CO,1579382759,10.4,-75.51,89.6,59,92,13.87
247,Maputo,MZ,1579382871,-25.97,32.59,76.5,91,100,4.25
248,Minnedosa,CA,1579382914,50.25,-99.84,-0.4,70,90,29.97
249,Japura,ID,1579382914,-0.32,102.35,73.27,98,86,0.27
250,Kapoeta,SS,1579382821,4.77,33.59,86.07,20,0,4.76
251,Cabo San Lucas,MX,1579382313,22.89,-109.91,82.0,61,20,9.17
252,Mastic Beach,US,1579382743,40.77,-72.85,30.99,86,90,3.36
253,Mar del Plata,AR,1579382252,-38.0,-57.56,88.0,35,0,13.87
254,Ust-Kuyga,RU,1579382316,70.02,135.6,-29.45,93,0,8.57
255,Brumado,BR,1579382915,-14.2,-41.67,82.72,49,0,4.5
256,Phalombe,MW,1579382915,-15.81,35.65,71.22,88,100,6.4
257,Ulaanbaatar,MN,1579382720,47.91,106.88,-11.2,76,40,2.24
258,Deniliquin,AU,1579382916,-35.53,144.97,75.58,59,0,12.08
259,Saint-Pierre,RE,1579382916,-21.34,55.48,82.4,83,100,3.36
260,Itarema,BR,1579382916,-2.92,-39.92,80.44,77,100,7.63
261,Acapulco de Juarez,MX,1579382707,16.86,-99.89,86.0,66,75,9.17
262,Faanui,PF,1579382588,-16.48,-151.75,81.54,80,100,18.5
263,Laguna,US,1579382917,38.42,-121.42,55.99,58,1,9.17
264,Tautira,PF,1579382880,-17.73,-149.15,87.8,66,20,16.11
265,Porto Walter,BR,1579382873,-8.27,-72.74,76.73,95,95,1.9
266,Bima,ID,1579382878,-8.47,118.72,71.78,93,51,0.49
267,Roald,NO,1579382917,62.58,6.13,42.8,87,75,24.16
268,Nekrasovskiy,RU,1579382918,56.07,37.5,32.0,92,90,13.42
269,Bethel,US,1579382918,41.37,-73.41,28.99,92,90,3.36
270,Bato,PH,1579382918,13.35,123.37,72.05,92,93,7.52
271,Verkhnevilyuysk,RU,1579382837,63.45,120.32,2.44,94,100,5.46
272,Mount Isa,AU,1579382830,-20.73,139.5,87.8,11,53,6.93
273,Natchitoches,US,1579382919,31.77,-93.13,64.99,100,90,11.41
274,Ganta,LR,1579382919,7.3,-8.53,73.96,29,0,2.84
275,Inndyr,NO,1579382920,67.03,14.03,35.6,59,20,21.92
276,Makakilo City,US,1579382763,21.35,-158.09,78.8,64,90,8.05
277,Morondava,MG,1579382545,-20.28,44.28,76.87,91,100,2.37
278,Esperance,AU,1579382920,-33.87,121.9,57.2,71,100,6.93
279,Wahiawa,US,1579382920,21.5,-158.02,78.8,64,90,8.05
280,Klaksvik,FO,1579382920,62.23,-6.59,41.0,86,9,6.93
281,Marsh Harbour,BS,1579382472,26.54,-77.06,70.81,70,11,21.25
282,Osakarovka,KZ,1579382921,50.56,72.57,13.59,94,100,15.61
283,Jalu,LY,1579382760,29.03,21.55,54.9,73,0,9.24
284,Buchanan,LR,1579382817,5.88,-10.05,78.8,94,20,4.85
285,Carutapera,BR,1579382922,-1.2,-46.02,82.4,78,94,12.01
286,Geraldton,AU,1579382922,-28.77,114.6,66.2,72,45,8.05
287,Ardakan,IR,1579382922,32.31,54.02,41.0,60,40,4.7
288,Minot,US,1579382922,48.23,-101.3,-5.01,63,1,25.28
289,Quatre Cocos,MU,1579382922,-20.21,57.76,80.6,88,40,4.7
290,Santa Barbara,US,1579382746,34.42,-119.7,68.0,63,1,4.7
291,Kindu,CD,1579382563,-2.95,25.95,69.67,99,97,1.92
292,Biloela,AU,1579382700,-24.42,150.5,76.24,60,0,1.72
293,Kandrian,PG,1579382923,-6.22,149.55,76.55,92,79,9.42
294,Ronneby,SE,1579382923,56.21,15.28,41.0,93,92,10.29
295,Valledupar,CO,1579382903,10.46,-73.25,93.2,44,20,20.8
296,Salinopolis,BR,1579382645,-0.61,-47.36,82.54,78,94,12.84
297,Paramonga,PE,1579382511,-10.67,-77.83,68.41,89,59,8.3
298,Talnakh,RU,1579382924,69.49,88.4,-18.4,75,100,17.9
299,Say,NE,1579382924,13.1,2.37,73.4,18,0,6.93
300,Dandong,CN,1579382924,40.13,124.39,25.41,96,100,3.56
301,Wittstock,DE,1579382925,53.16,12.48,39.99,80,100,4.0
302,Moussoro,TD,1579382774,13.64,16.49,66.49,35,28,16.73
303,Bundaberg,AU,1579382925,-24.85,152.35,79.0,83,75,8.05
304,Loralai,PK,1579382925,30.37,68.6,30.85,35,0,3.89
305,Brattvag,NO,1579382925,62.6,6.44,42.8,87,75,24.16
306,Lorengau,PG,1579382765,-2.02,147.27,84.04,76,84,26.89
307,Pizarro,CO,1579382926,4.95,-77.37,83.05,78,63,8.05
308,Brainerd,US,1579382926,46.36,-94.2,9.0,60,1,16.11
309,Sinop,TR,1579382926,41.77,34.87,41.38,72,100,7.31
310,Cervo,ES,1579382926,43.67,-7.41,52.0,1,82,2.59
311,Ziway,ET,1579382926,7.93,38.72,59.45,38,0,12.17
312,Ponto Novo,BR,1579382649,-10.86,-40.13,82.06,48,0,7.67
313,Scarborough,GB,1579382580,54.28,-0.4,39.99,71,60,8.05
314,Yulara,AU,1579382863,-25.24,130.99,78.8,39,90,12.75
315,Chui,UY,1579382075,-33.7,-53.46,77.27,49,7,5.91
316,Tabas,IR,1579382481,33.6,56.92,46.4,75,74,4.7
317,Gladstone,AU,1579382493,-23.85,151.25,81.0,78,0,5.82
318,Nelson Bay,AU,1579382928,-32.72,152.15,71.01,94,90,6.93
319,Sun Valley,US,1579382928,39.6,-119.78,46.0,32,1,3.36
320,Nouadhibou,MR,1579382870,20.93,-17.03,71.6,33,100,12.75
321,Fallon,US,1579382928,39.47,-118.78,46.4,31,90,4.7
322,Zaranj,AF,1579382929,30.97,61.88,41.0,52,100,6.93
323,Basco,PH,1579382929,20.45,121.97,72.5,76,45,14.38
324,Phalaborwa,ZA,1579382929,-23.94,31.14,73.4,94,100,14.99
325,Barinas,VE,1579382929,8.62,-70.21,86.99,57,47,7.31
326,Pangnirtung,CA,1579382411,66.15,-65.71,-22.0,74,20,1.19
327,Lata,PT,1579382572,40.16,-8.33,55.99,71,40,11.41
328,Payo,ID,1579382915,-3.75,103.64,67.8,96,100,2.48
329,Atar,MR,1579382491,20.52,-13.05,65.3,19,0,16.62
330,Gamba,GA,1579382212,-2.65,10.0,79.52,82,34,3.15
331,Sur,OM,1579382857,22.57,59.53,65.05,59,0,7.45
332,Panuco,MX,1579382931,22.05,-98.17,75.2,94,75,6.93
333,Nuuk,GL,1579382815,64.18,-51.72,15.8,72,40,19.46
334,Avera,US,1579382761,33.19,-82.53,66.2,63,90,12.75
335,Derzhavinsk,KZ,1579382505,51.1,66.32,17.82,95,100,13.15
336,Mabaruma,GY,1579382615,8.2,-59.78,77.72,95,0,3.42
337,Wollongong,AU,1579382932,-34.43,150.88,69.01,88,75,4.7
338,Rayong,TH,1579382932,12.83,101.43,82.99,83,20,4.7
339,Chunskiy,RU,1579382932,56.08,99.63,-0.85,88,100,11.65
340,Poum,NC,1579382697,-20.23,164.02,79.0,79,2,17.11
341,Luganville,VU,1579382758,-15.53,167.17,82.4,88,75,3.36
342,Cairns,AU,1579382699,-16.92,145.77,84.2,79,75,1.12
343,Departamento de Maldonado,UY,1579382186,-34.67,-54.92,77.0,47,0,9.17
344,Jining,CN,1579382933,35.41,116.58,31.37,68,0,6.85
345,Kieta,PG,1579382933,-6.22,155.63,81.57,73,0,4.45
346,Acari,PE,1579382933,-15.43,-74.62,68.49,80,100,7.25
347,Kununurra,AU,1579382934,-15.77,128.73,80.6,83,100,3.36
348,Nizhniy Ingash,RU,1579382934,56.2,96.53,-3.32,87,90,10.18
349,Duminichi,RU,1579382934,53.93,35.11,26.67,93,100,7.99
350,Puerto Escondido,MX,1579382488,15.85,-97.07,80.6,74,40,6.93
351,Taua,BR,1579382935,-5.97,-40.3,79.36,73,100,3.8
352,Pacific Grove,US,1579382427,36.62,-121.92,57.99,50,1,6.93
353,Nemuro,JP,1579382611,43.32,145.57,27.16,64,100,6.29
354,Madang,PG,1579382375,-5.22,145.8,81.64,83,100,18.72
355,Chegdomyn,RU,1579382935,51.12,133.02,-19.5,99,44,0.07
356,Hambantota,LK,1579382936,6.12,81.12,79.74,78,75,17.94
357,Srivardhan,IN,1579382804,18.03,73.02,69.1,62,0,5.61
358,Kauswagan,PH,1579382936,8.19,124.08,71.01,86,0,5.99
359,Mossamedes,AO,1579382671,-15.2,12.15,75.79,86,0,11.92
360,Ayan,RU,1579382936,56.45,138.17,-2.42,74,27,6.38
361,Serendah,MY,1579382937,3.36,101.6,78.8,94,20,2.59
362,Vestmannaeyjar,IS,1579382937,63.44,-20.27,42.12,82,98,25.23
363,Elliot Lake,CA,1579382765,46.38,-82.63,17.6,85,90,21.92
364,Sao Joao da Barra,BR,1579382577,-21.64,-41.05,78.8,73,75,13.87
365,Cabedelo,BR,1579382721,-6.98,-34.83,80.6,78,20,13.87
366,Caravelas,BR,1579382877,-17.71,-39.25,80.19,76,0,12.03
367,Rosarito,MX,1579382938,32.33,-117.03,72.0,40,1,5.82
368,Witu,KE,1579382938,-2.39,40.44,79.84,81,79,10.92
369,Turukhansk,RU,1579382864,65.82,87.98,-8.14,99,100,3.2
370,Majene,ID,1579382938,-3.54,118.97,75.25,87,100,3.67
371,Egvekinot,RU,1579382574,66.32,-179.17,-11.45,97,68,11.97
372,Puerto Maldonado,PE,1579382939,-12.6,-69.18,33.8,100,20,4.7
373,Olafsvik,IS,1579382349,64.89,-23.71,32.41,84,100,18.54
